Time [s],omega GENROU 1,omega GENROU 2,omega GENROU 3,omega GENROU 4,omega GENROU 5,omega GENROU 6,omega GENROU 7,omega GENROU 8,omega GENROU 9,omega GENROU 10,a Bus 1,a Bus 2,a Bus 3,a Bus 4,a Bus 5,a Bus 6,a Bus 7,a Bus 8,a Bus 9,a Bus 10,a Bus 11,a Bus 12,a Bus 13,a Bus 14,a Bus 15,a Bus 16,a Bus 17,a Bus 18,a Bus 19,a Bus 20,a Bus 21,a Bus 22,a Bus 23,a Bus 24,a Bus 25,a Bus 26,a Bus 27,a Bus 28,a Bus 29,a Bus 30,a Bus 31,a Bus 32,a Bus 33,a Bus 34,a Bus 35,a Bus 36,a Bus 37,a Bus 38,a Bus 39,v Bus 1,v Bus 2,v Bus 3,v Bus 4,v Bus 5,v Bus 6,v Bus 7,v Bus 8,v Bus 9,v Bus 10,v Bus 11,v Bus 12,v Bus 13,v Bus 14,v Bus 15,v Bus 16,v Bus 17,v Bus 18,v Bus 19,v Bus 20,v Bus 21,v Bus 22,v Bus 23,v Bus 24,v Bus 25,v Bus 26,v Bus 27,v Bus 28,v Bus 29,v Bus 30,v Bus 31,v Bus 32,v Bus 33,v Bus 34,v Bus 35,v Bus 36,v Bus 37,v Bus 38,v Bus 39
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000420736524380627e-01,-2.131363954713605124e-01,-2.783694902545756356e-01,-2.710987927355136273e-01,-2.460678472967011698e-01,-2.353875860565607381e-01,-2.637975239178408926e-01,-2.690381738079685725e-01,-2.241800671100767084e-01,-2.017535270298107253e-01,-2.148083112328122712e-01,-2.371375993746645261e-01,-2.152146014193442869e-01,-2.419841148736203706e-01,-2.503241081570535265e-01,-2.273768802504045061e-01,-2.517738918647529633e-01,-2.690957919479249894e-01,-1.457437757014697632e-01,-1.694902642624890876e-01,-1.822808706614820473e-01,-1.019672131007068050e-01,-1.053115808267770792e-01,-2.239339193950474483e-01,-2.089582015637507229e-01,-2.348316087490414095e-01,-2.622622556190035148e-01,-1.887201845616813811e-01,-1.462467679816246147e-01,-1.391905720103523425e-01,-1.199517002588886827e-01,-6.126583711438557400e-02,-5.478388832564215494e-02,-8.035029041172275788e-02,-1.235313660122843923e-02,3.616353408720823781e-02,-1.370138110209585258e-01,-3.767864856566061765e-02,-1.912880859999999961e-01,1.052431425662091691e+00,1.057530819710098324e+00,1.054179114143032336e+00,1.077215435023501922e+00,1.091407803237413043e+00,1.091209862050648516e+00,1.081568736914297446e+00,1.079582569329764929e+00,1.062325542291128633e+00,1.085721187718808656e+00,1.087014152061297034e+00,1.083987798236493827e+00,1.082455258679284160e+00,1.075690460753683686e+00,1.053818777153075814e+00,1.053571791203598229e+00,1.054353137408878371e+00,1.052990186229488812e+00,1.066893096336107627e+00,1.003182032783507704e+00,1.048563494270421170e+00,1.061490681024948479e+00,1.053664674656136224e+00,1.052684679801135337e+00,1.053943472433578776e+00,1.064185212311139273e+00,1.054168532384627044e+00,1.065262249290771512e+00,1.065299587241508084e+00,1.035533999999999955e+00,1.013246000000000091e+00,1.020528000000000102e+00,1.013430000000000053e+00,1.019109000000000043e+00,1.060000000000000053e+00,1.060000000000000053e+00,1.013995999999999897e+00,1.052802999999999933e+00,1.030000000000000027e+00
3.333333333333333287e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000420736524380627e-01,-2.131363954713605124e-01,-2.783694902545756356e-01,-2.710987927355136273e-01,-2.460678472967011698e-01,-2.353875860565607381e-01,-2.637975239178408926e-01,-2.690381738079685725e-01,-2.241800671100767084e-01,-2.017535270298107253e-01,-2.148083112328122712e-01,-2.371375993746645261e-01,-2.152146014193442869e-01,-2.419841148736203706e-01,-2.503241081570535265e-01,-2.273768802504045061e-01,-2.517738918647529633e-01,-2.690957919479249894e-01,-1.457437757014697632e-01,-1.694902642624890876e-01,-1.822808706614820473e-01,-1.019672131007068050e-01,-1.053115808267770792e-01,-2.239339193950474483e-01,-2.089582015637507229e-01,-2.348316087490414095e-01,-2.622622556190035148e-01,-1.887201845616813811e-01,-1.462467679816246147e-01,-1.391905720103523425e-01,-1.199517002588886827e-01,-6.126583711438557400e-02,-5.478388832564215494e-02,-8.035029041172275788e-02,-1.235313660122843923e-02,3.616353408720823781e-02,-1.370138110209585258e-01,-3.767864856566061765e-02,-1.912880859999999961e-01,1.052431425662091691e+00,1.057530819710098324e+00,1.054179114143032336e+00,1.077215435023501922e+00,1.091407803237413043e+00,1.091209862050648516e+00,1.081568736914297446e+00,1.079582569329764929e+00,1.062325542291128633e+00,1.085721187718808656e+00,1.087014152061297034e+00,1.083987798236493827e+00,1.082455258679284160e+00,1.075690460753683686e+00,1.053818777153075814e+00,1.053571791203598229e+00,1.054353137408878371e+00,1.052990186229488812e+00,1.066893096336107627e+00,1.003182032783507704e+00,1.048563494270421170e+00,1.061490681024948479e+00,1.053664674656136224e+00,1.052684679801135337e+00,1.053943472433578776e+00,1.064185212311139273e+00,1.054168532384627044e+00,1.065262249290771512e+00,1.065299587241508084e+00,1.035533999999999955e+00,1.013246000000000091e+00,1.020528000000000102e+00,1.013430000000000053e+00,1.019109000000000043e+00,1.060000000000000053e+00,1.060000000000000053e+00,1.013995999999999897e+00,1.052802999999999933e+00,1.030000000000000027e+00
6.666666666666666574e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000420736524380627e-01,-2.131363954713605124e-01,-2.783694902545756356e-01,-2.710987927355136273e-01,-2.460678472967011698e-01,-2.353875860565607381e-01,-2.637975239178408926e-01,-2.690381738079685725e-01,-2.241800671100767084e-01,-2.017535270298107253e-01,-2.148083112328122712e-01,-2.371375993746645261e-01,-2.152146014193442869e-01,-2.419841148736203706e-01,-2.503241081570535265e-01,-2.273768802504045061e-01,-2.517738918647529633e-01,-2.690957919479249894e-01,-1.457437757014697632e-01,-1.694902642624890876e-01,-1.822808706614820473e-01,-1.019672131007068050e-01,-1.053115808267770792e-01,-2.239339193950474483e-01,-2.089582015637507229e-01,-2.348316087490414095e-01,-2.622622556190035148e-01,-1.887201845616813811e-01,-1.462467679816246147e-01,-1.391905720103523425e-01,-1.199517002588886827e-01,-6.126583711438557400e-02,-5.478388832564215494e-02,-8.035029041172275788e-02,-1.235313660122843923e-02,3.616353408720823781e-02,-1.370138110209585258e-01,-3.767864856566061765e-02,-1.912880859999999961e-01,1.052431425662091691e+00,1.057530819710098324e+00,1.054179114143032336e+00,1.077215435023501922e+00,1.091407803237413043e+00,1.091209862050648516e+00,1.081568736914297446e+00,1.079582569329764929e+00,1.062325542291128633e+00,1.085721187718808656e+00,1.087014152061297034e+00,1.083987798236493827e+00,1.082455258679284160e+00,1.075690460753683686e+00,1.053818777153075814e+00,1.053571791203598229e+00,1.054353137408878371e+00,1.052990186229488812e+00,1.066893096336107627e+00,1.003182032783507704e+00,1.048563494270421170e+00,1.061490681024948479e+00,1.053664674656136224e+00,1.052684679801135337e+00,1.053943472433578776e+00,1.064185212311139273e+00,1.054168532384627044e+00,1.065262249290771512e+00,1.065299587241508084e+00,1.035533999999999955e+00,1.013246000000000091e+00,1.020528000000000102e+00,1.013430000000000053e+00,1.019109000000000043e+00,1.060000000000000053e+00,1.060000000000000053e+00,1.013995999999999897e+00,1.052802999999999933e+00,1.030000000000000027e+00
1.000000000000000056e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000420736524380627e-01,-2.131363954713605124e-01,-2.783694902545756356e-01,-2.710987927355136273e-01,-2.460678472967011698e-01,-2.353875860565607381e-01,-2.637975239178408926e-01,-2.690381738079685725e-01,-2.241800671100767084e-01,-2.017535270298107253e-01,-2.148083112328122712e-01,-2.371375993746645261e-01,-2.152146014193442869e-01,-2.419841148736203706e-01,-2.503241081570535265e-01,-2.273768802504045061e-01,-2.517738918647529633e-01,-2.690957919479249894e-01,-1.457437757014697632e-01,-1.694902642624890876e-01,-1.822808706614820473e-01,-1.019672131007068050e-01,-1.053115808267770792e-01,-2.239339193950474483e-01,-2.089582015637507229e-01,-2.348316087490414095e-01,-2.622622556190035148e-01,-1.887201845616813811e-01,-1.462467679816246147e-01,-1.391905720103523425e-01,-1.199517002588886827e-01,-6.126583711438557400e-02,-5.478388832564215494e-02,-8.035029041172275788e-02,-1.235313660122843923e-02,3.616353408720823781e-02,-1.370138110209585258e-01,-3.767864856566061765e-02,-1.912880859999999961e-01,1.052431425662091691e+00,1.057530819710098324e+00,1.054179114143032336e+00,1.077215435023501922e+00,1.091407803237413043e+00,1.091209862050648516e+00,1.081568736914297446e+00,1.079582569329764929e+00,1.062325542291128633e+00,1.085721187718808656e+00,1.087014152061297034e+00,1.083987798236493827e+00,1.082455258679284160e+00,1.075690460753683686e+00,1.053818777153075814e+00,1.053571791203598229e+00,1.054353137408878371e+00,1.052990186229488812e+00,1.066893096336107627e+00,1.003182032783507704e+00,1.048563494270421170e+00,1.061490681024948479e+00,1.053664674656136224e+00,1.052684679801135337e+00,1.053943472433578776e+00,1.064185212311139273e+00,1.054168532384627044e+00,1.065262249290771512e+00,1.065299587241508084e+00,1.035533999999999955e+00,1.013246000000000091e+00,1.020528000000000102e+00,1.013430000000000053e+00,1.019109000000000043e+00,1.060000000000000053e+00,1.060000000000000053e+00,1.013995999999999897e+00,1.052802999999999933e+00,1.030000000000000027e+00
1.333333333333333315e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000420736524380627e-01,-2.131363954713605124e-01,-2.783694902545756356e-01,-2.710987927355136273e-01,-2.460678472967011698e-01,-2.353875860565607381e-01,-2.637975239178408926e-01,-2.690381738079685725e-01,-2.241800671100767084e-01,-2.017535270298107253e-01,-2.148083112328122712e-01,-2.371375993746645261e-01,-2.152146014193442869e-01,-2.419841148736203706e-01,-2.503241081570535265e-01,-2.273768802504045061e-01,-2.517738918647529633e-01,-2.690957919479249894e-01,-1.457437757014697632e-01,-1.694902642624890876e-01,-1.822808706614820473e-01,-1.019672131007068050e-01,-1.053115808267770792e-01,-2.239339193950474483e-01,-2.089582015637507229e-01,-2.348316087490414095e-01,-2.622622556190035148e-01,-1.887201845616813811e-01,-1.462467679816246147e-01,-1.391905720103523425e-01,-1.199517002588886827e-01,-6.126583711438557400e-02,-5.478388832564215494e-02,-8.035029041172275788e-02,-1.235313660122843923e-02,3.616353408720823781e-02,-1.370138110209585258e-01,-3.767864856566061765e-02,-1.912880859999999961e-01,1.052431425662091691e+00,1.057530819710098324e+00,1.054179114143032336e+00,1.077215435023501922e+00,1.091407803237413043e+00,1.091209862050648516e+00,1.081568736914297446e+00,1.079582569329764929e+00,1.062325542291128633e+00,1.085721187718808656e+00,1.087014152061297034e+00,1.083987798236493827e+00,1.082455258679284160e+00,1.075690460753683686e+00,1.053818777153075814e+00,1.053571791203598229e+00,1.054353137408878371e+00,1.052990186229488812e+00,1.066893096336107627e+00,1.003182032783507704e+00,1.048563494270421170e+00,1.061490681024948479e+00,1.053664674656136224e+00,1.052684679801135337e+00,1.053943472433578776e+00,1.064185212311139273e+00,1.054168532384627044e+00,1.065262249290771512e+00,1.065299587241508084e+00,1.035533999999999955e+00,1.013246000000000091e+00,1.020528000000000102e+00,1.013430000000000053e+00,1.019109000000000043e+00,1.060000000000000053e+00,1.060000000000000053e+00,1.013995999999999897e+00,1.052802999999999933e+00,1.030000000000000027e+00
1.666666666666666574e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000420736524380627e-01,-2.131363954713605124e-01,-2.783694902545756356e-01,-2.710987927355136273e-01,-2.460678472967011698e-01,-2.353875860565607381e-01,-2.637975239178408926e-01,-2.690381738079685725e-01,-2.241800671100767084e-01,-2.017535270298107253e-01,-2.148083112328122712e-01,-2.371375993746645261e-01,-2.152146014193442869e-01,-2.419841148736203706e-01,-2.503241081570535265e-01,-2.273768802504045061e-01,-2.517738918647529633e-01,-2.690957919479249894e-01,-1.457437757014697632e-01,-1.694902642624890876e-01,-1.822808706614820473e-01,-1.019672131007068050e-01,-1.053115808267770792e-01,-2.239339193950474483e-01,-2.089582015637507229e-01,-2.348316087490414095e-01,-2.622622556190035148e-01,-1.887201845616813811e-01,-1.462467679816246147e-01,-1.391905720103523425e-01,-1.199517002588886827e-01,-6.126583711438557400e-02,-5.478388832564215494e-02,-8.035029041172275788e-02,-1.235313660122843923e-02,3.616353408720823781e-02,-1.370138110209585258e-01,-3.767864856566061765e-02,-1.912880859999999961e-01,1.052431425662091691e+00,1.057530819710098324e+00,1.054179114143032336e+00,1.077215435023501922e+00,1.091407803237413043e+00,1.091209862050648516e+00,1.081568736914297446e+00,1.079582569329764929e+00,1.062325542291128633e+00,1.085721187718808656e+00,1.087014152061297034e+00,1.083987798236493827e+00,1.082455258679284160e+00,1.075690460753683686e+00,1.053818777153075814e+00,1.053571791203598229e+00,1.054353137408878371e+00,1.052990186229488812e+00,1.066893096336107627e+00,1.003182032783507704e+00,1.048563494270421170e+00,1.061490681024948479e+00,1.053664674656136224e+00,1.052684679801135337e+00,1.053943472433578776e+00,1.064185212311139273e+00,1.054168532384627044e+00,1.065262249290771512e+00,1.065299587241508084e+00,1.035533999999999955e+00,1.013246000000000091e+00,1.020528000000000102e+00,1.013430000000000053e+00,1.019109000000000043e+00,1.060000000000000053e+00,1.060000000000000053e+00,1.013995999999999897e+00,1.052802999999999933e+00,1.030000000000000027e+00
1.999999999999999833e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000420736524380627e-01,-2.131363954713605124e-01,-2.783694902545756356e-01,-2.710987927355136273e-01,-2.460678472967011698e-01,-2.353875860565607381e-01,-2.637975239178408926e-01,-2.690381738079685725e-01,-2.241800671100767084e-01,-2.017535270298107253e-01,-2.148083112328122712e-01,-2.371375993746645261e-01,-2.152146014193442869e-01,-2.419841148736203706e-01,-2.503241081570535265e-01,-2.273768802504045061e-01,-2.517738918647529633e-01,-2.690957919479249894e-01,-1.457437757014697632e-01,-1.694902642624890876e-01,-1.822808706614820473e-01,-1.019672131007068050e-01,-1.053115808267770792e-01,-2.239339193950474483e-01,-2.089582015637507229e-01,-2.348316087490414095e-01,-2.622622556190035148e-01,-1.887201845616813811e-01,-1.462467679816246147e-01,-1.391905720103523425e-01,-1.199517002588886827e-01,-6.126583711438557400e-02,-5.478388832564215494e-02,-8.035029041172275788e-02,-1.235313660122843923e-02,3.616353408720823781e-02,-1.370138110209585258e-01,-3.767864856566061765e-02,-1.912880859999999961e-01,1.052431425662091691e+00,1.057530819710098324e+00,1.054179114143032336e+00,1.077215435023501922e+00,1.091407803237413043e+00,1.091209862050648516e+00,1.081568736914297446e+00,1.079582569329764929e+00,1.062325542291128633e+00,1.085721187718808656e+00,1.087014152061297034e+00,1.083987798236493827e+00,1.082455258679284160e+00,1.075690460753683686e+00,1.053818777153075814e+00,1.053571791203598229e+00,1.054353137408878371e+00,1.052990186229488812e+00,1.066893096336107627e+00,1.003182032783507704e+00,1.048563494270421170e+00,1.061490681024948479e+00,1.053664674656136224e+00,1.052684679801135337e+00,1.053943472433578776e+00,1.064185212311139273e+00,1.054168532384627044e+00,1.065262249290771512e+00,1.065299587241508084e+00,1.035533999999999955e+00,1.013246000000000091e+00,1.020528000000000102e+00,1.013430000000000053e+00,1.019109000000000043e+00,1.060000000000000053e+00,1.060000000000000053e+00,1.013995999999999897e+00,1.052802999999999933e+00,1.030000000000000027e+00
2.333333333333333093e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000420736524380627e-01,-2.131363954713605124e-01,-2.783694902545756356e-01,-2.710987927355136273e-01,-2.460678472967011698e-01,-2.353875860565607381e-01,-2.637975239178408926e-01,-2.690381738079685725e-01,-2.241800671100767084e-01,-2.017535270298107253e-01,-2.148083112328122712e-01,-2.371375993746645261e-01,-2.152146014193442869e-01,-2.419841148736203706e-01,-2.503241081570535265e-01,-2.273768802504045061e-01,-2.517738918647529633e-01,-2.690957919479249894e-01,-1.457437757014697632e-01,-1.694902642624890876e-01,-1.822808706614820473e-01,-1.019672131007068050e-01,-1.053115808267770792e-01,-2.239339193950474483e-01,-2.089582015637507229e-01,-2.348316087490414095e-01,-2.622622556190035148e-01,-1.887201845616813811e-01,-1.462467679816246147e-01,-1.391905720103523425e-01,-1.199517002588886827e-01,-6.126583711438557400e-02,-5.478388832564215494e-02,-8.035029041172275788e-02,-1.235313660122843923e-02,3.616353408720823781e-02,-1.370138110209585258e-01,-3.767864856566061765e-02,-1.912880859999999961e-01,1.052431425662091691e+00,1.057530819710098324e+00,1.054179114143032336e+00,1.077215435023501922e+00,1.091407803237413043e+00,1.091209862050648516e+00,1.081568736914297446e+00,1.079582569329764929e+00,1.062325542291128633e+00,1.085721187718808656e+00,1.087014152061297034e+00,1.083987798236493827e+00,1.082455258679284160e+00,1.075690460753683686e+00,1.053818777153075814e+00,1.053571791203598229e+00,1.054353137408878371e+00,1.052990186229488812e+00,1.066893096336107627e+00,1.003182032783507704e+00,1.048563494270421170e+00,1.061490681024948479e+00,1.053664674656136224e+00,1.052684679801135337e+00,1.053943472433578776e+00,1.064185212311139273e+00,1.054168532384627044e+00,1.065262249290771512e+00,1.065299587241508084e+00,1.035533999999999955e+00,1.013246000000000091e+00,1.020528000000000102e+00,1.013430000000000053e+00,1.019109000000000043e+00,1.060000000000000053e+00,1.060000000000000053e+00,1.013995999999999897e+00,1.052802999999999933e+00,1.030000000000000027e+00
2.666666666666666630e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000420736524380627e-01,-2.131363954713605124e-01,-2.783694902545756356e-01,-2.710987927355136273e-01,-2.460678472967011698e-01,-2.353875860565607381e-01,-2.637975239178408926e-01,-2.690381738079685725e-01,-2.241800671100767084e-01,-2.017535270298107253e-01,-2.148083112328122712e-01,-2.371375993746645261e-01,-2.152146014193442869e-01,-2.419841148736203706e-01,-2.503241081570535265e-01,-2.273768802504045061e-01,-2.517738918647529633e-01,-2.690957919479249894e-01,-1.457437757014697632e-01,-1.694902642624890876e-01,-1.822808706614820473e-01,-1.019672131007068050e-01,-1.053115808267770792e-01,-2.239339193950474483e-01,-2.089582015637507229e-01,-2.348316087490414095e-01,-2.622622556190035148e-01,-1.887201845616813811e-01,-1.462467679816246147e-01,-1.391905720103523425e-01,-1.199517002588886827e-01,-6.126583711438557400e-02,-5.478388832564215494e-02,-8.035029041172275788e-02,-1.235313660122843923e-02,3.616353408720823781e-02,-1.370138110209585258e-01,-3.767864856566061765e-02,-1.912880859999999961e-01,1.052431425662091691e+00,1.057530819710098324e+00,1.054179114143032336e+00,1.077215435023501922e+00,1.091407803237413043e+00,1.091209862050648516e+00,1.081568736914297446e+00,1.079582569329764929e+00,1.062325542291128633e+00,1.085721187718808656e+00,1.087014152061297034e+00,1.083987798236493827e+00,1.082455258679284160e+00,1.075690460753683686e+00,1.053818777153075814e+00,1.053571791203598229e+00,1.054353137408878371e+00,1.052990186229488812e+00,1.066893096336107627e+00,1.003182032783507704e+00,1.048563494270421170e+00,1.061490681024948479e+00,1.053664674656136224e+00,1.052684679801135337e+00,1.053943472433578776e+00,1.064185212311139273e+00,1.054168532384627044e+00,1.065262249290771512e+00,1.065299587241508084e+00,1.035533999999999955e+00,1.013246000000000091e+00,1.020528000000000102e+00,1.013430000000000053e+00,1.019109000000000043e+00,1.060000000000000053e+00,1.060000000000000053e+00,1.013995999999999897e+00,1.052802999999999933e+00,1.030000000000000027e+00
2.999999999999999889e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000420736524380627e-01,-2.131363954713605124e-01,-2.783694902545756356e-01,-2.710987927355136273e-01,-2.460678472967011698e-01,-2.353875860565607381e-01,-2.637975239178408926e-01,-2.690381738079685725e-01,-2.241800671100767084e-01,-2.017535270298107253e-01,-2.148083112328122712e-01,-2.371375993746645261e-01,-2.152146014193442869e-01,-2.419841148736203706e-01,-2.503241081570535265e-01,-2.273768802504045061e-01,-2.517738918647529633e-01,-2.690957919479249894e-01,-1.457437757014697632e-01,-1.694902642624890876e-01,-1.822808706614820473e-01,-1.019672131007068050e-01,-1.053115808267770792e-01,-2.239339193950474483e-01,-2.089582015637507229e-01,-2.348316087490414095e-01,-2.622622556190035148e-01,-1.887201845616813811e-01,-1.462467679816246147e-01,-1.391905720103523425e-01,-1.199517002588886827e-01,-6.126583711438557400e-02,-5.478388832564215494e-02,-8.035029041172275788e-02,-1.235313660122843923e-02,3.616353408720823781e-02,-1.370138110209585258e-01,-3.767864856566061765e-02,-1.912880859999999961e-01,1.052431425662091691e+00,1.057530819710098324e+00,1.054179114143032336e+00,1.077215435023501922e+00,1.091407803237413043e+00,1.091209862050648516e+00,1.081568736914297446e+00,1.079582569329764929e+00,1.062325542291128633e+00,1.085721187718808656e+00,1.087014152061297034e+00,1.083987798236493827e+00,1.082455258679284160e+00,1.075690460753683686e+00,1.053818777153075814e+00,1.053571791203598229e+00,1.054353137408878371e+00,1.052990186229488812e+00,1.066893096336107627e+00,1.003182032783507704e+00,1.048563494270421170e+00,1.061490681024948479e+00,1.053664674656136224e+00,1.052684679801135337e+00,1.053943472433578776e+00,1.064185212311139273e+00,1.054168532384627044e+00,1.065262249290771512e+00,1.065299587241508084e+00,1.035533999999999955e+00,1.013246000000000091e+00,1.020528000000000102e+00,1.013430000000000053e+00,1.019109000000000043e+00,1.060000000000000053e+00,1.060000000000000053e+00,1.013995999999999897e+00,1.052802999999999933e+00,1.030000000000000027e+00
