kr,k,a_ltb,p,q,tw,tr
66.0,55.0,0.0,-1.971,-1.971,0.00025391578674316406,1676478476.589346
67.0,56.0,0.0,-1.971,-1.971,0.0001609325408935547,1676478476.5946572
68.0,57.0,0.0,-1.971,-1.971,0.0002110004425048828,1676478476.595416
69.0,58.0,0.0,-1.971,-1.971,0.0001430511474609375,1676478476.600072
70.0,59.0,0.0,-1.971,-1.971,0.00019502639770507812,1676478476.6053128
71.0,60.0,0.0,-1.971,-1.971,0.00013899803161621094,1676478476.610539
72.0,61.0,0.0,-1.971,-1.971,0.00012087821960449219,1676478476.6110182
73.0,62.0,0.0,-1.971,-1.971,0.00026702880859375,1676478476.616861
74.0,63.0,0.0,-1.971,-1.971,0.00017213821411132812,1676478476.6219947
75.0,64.0,0.0,-1.971,-1.971,0.0001819133758544922,1676478476.626831
76.0,65.0,0.0,-1.971,-1.971,0.00019407272338867188,1676478476.628679
77.0,66.0,0.0,-1.971,-1.971,0.00021195411682128906,1676478476.633128
78.0,67.0,0.0,-1.971,-1.971,0.0001621246337890625,1676478476.634874
79.0,68.0,0.0,-1.971,-1.971,0.0001652240753173828,1676478476.6404479
80.0,69.0,0.0,-1.971,-1.971,0.00024390220642089844,1676478476.6452289
81.0,70.0,0.0,-1.971,-1.971,0.00015091896057128906,1676478476.645472
82.0,71.0,0.0,-1.971,-1.971,0.0001220703125,1676478476.650848
83.0,72.0,0.0,-1.971,-1.971,0.000125885009765625,1676478476.6558611
84.0,73.0,0.0,-1.971,-1.971,0.00011992454528808594,1676478476.661059
85.0,74.0,0.0,-1.971,-1.971,0.00012421607971191406,1676478476.666483
86.0,75.0,0.0,-1.971,-1.971,0.00013113021850585938,1676478476.671383
87.0,76.0,0.0,-1.971,-1.971,0.0001971721649169922,1676478476.675452
88.0,77.0,0.0,-1.971,-1.971,0.00015687942504882812,1676478476.678862
89.0,78.0,0.0,-1.971,-1.971,0.0001399517059326172,1676478476.684084
90.0,79.0,0.0,-1.971,-1.971,0.00013971328735351562,1676478476.6853971
91.0,80.0,0.0,-1.971,-1.971,0.0001461505889892578,1676478476.690609
