kr,k,a_ltb,p,q,tw,tr
12.0,1.0,0.0,-1.971,-1.971,0.0002942085266113281,1676478476.370638
13.0,2.0,0.0,-1.971,-1.971,0.0001289844512939453,1676478476.375842
14.0,3.0,0.0,-1.971,-1.971,0.00017213821411132812,1676478476.3801508
15.0,4.0,0.0,-1.971,-1.971,0.00014400482177734375,1676478476.385063
16.0,5.0,0.0,-1.971,-1.971,0.00015807151794433594,1676478476.390272
17.0,6.0,0.0,-1.971,-1.971,0.00016117095947265625,1676478476.393031
18.0,7.0,0.0,-1.971,-1.971,0.0001442432403564453,1676478476.394722
19.0,8.0,0.0,-1.971,-1.971,0.00014090538024902344,1676478476.3999739
20.0,9.0,0.0,-1.971,-1.971,0.0001270771026611328,1676478476.405104
21.0,10.0,0.0,-1.971,-1.971,0.00012493133544921875,1676478476.410304
22.0,11.0,0.0,-1.971,-1.971,0.0001347064971923828,1676478476.415887
23.0,12.0,0.0,-1.971,-1.971,0.00011897087097167969,1676478476.421062
24.0,13.0,0.0,-1.971,-1.971,0.0001327991485595703,1676478476.426099
25.0,14.0,0.0,-1.971,-1.971,0.00013589859008789062,1676478476.427083
26.0,15.0,0.0,-1.971,-1.971,0.00023889541625976562,1676478476.432742
27.0,16.0,0.0,-1.971,-1.971,0.00038814544677734375,1676478476.438966
28.0,17.0,0.0,-1.971,-1.971,0.0001888275146484375,1676478476.4437222
29.0,18.0,0.0,-1.971,-1.971,0.00017404556274414062,1676478476.4453077
30.0,19.0,0.0,-1.971,-1.971,0.00013899803161621094,1676478476.4504979
31.0,20.0,0.0,-1.971,-1.971,0.00013208389282226562,1676478476.455688
32.0,21.0,0.0,-1.971,-1.971,0.0001442432403564453,1676478476.461262
33.0,22.0,0.0,-1.971,-1.971,0.0001800060272216797,1676478476.466272
34.0,23.0,0.0,-1.971,-1.971,0.00013899803161621094,1676478476.4717221
35.0,24.0,0.0,-1.971,-1.971,0.00012803077697753906,1676478476.476959
36.0,25.0,0.0,-1.971,-1.971,0.00017189979553222656,1676478476.478161
37.0,26.0,0.0,-1.971,-1.971,0.00015211105346679688,1676478476.478666
38.0,27.0,0.0,-1.971,-1.971,0.0001468658447265625,1676478476.4821422
39.0,28.0,0.0,-1.971,-1.971,0.00019288063049316406,1676478476.486919
40.0,29.0,0.0,-1.971,-1.971,0.00013303756713867188,1676478476.4880118
41.0,30.0,0.0,-1.971,-1.971,0.00015115737915039062,1676478476.493291
42.0,31.0,0.0,-1.971,-1.971,0.0002148151397705078,1676478476.4985762
43.0,32.0,0.0,-1.971,-1.971,0.00012183189392089844,1676478476.5017512
44.0,33.0,0.0,-1.971,-1.971,0.00018215179443359375,1676478476.507305
45.0,34.0,0.0,-1.971,-1.971,0.00012373924255371094,1676478476.5124311
46.0,35.0,0.0,-1.971,-1.971,0.00012922286987304688,1676478476.512862
47.0,36.0,0.0,-1.971,-1.971,0.00011706352233886719,1676478476.518409
48.0,37.0,0.0,-1.971,-1.971,0.00013494491577148438,1676478476.523601
49.0,38.0,0.0,-1.971,-1.971,0.0001609325408935547,1676478476.5267
50.0,39.0,0.0,-1.971,-1.971,0.00012683868408203125,1676478476.526893
51.0,40.0,0.0,-1.971,-1.971,0.00013184547424316406,1676478476.528088
52.0,41.0,0.0,-1.971,-1.971,0.0001506805419921875,1676478476.5313911
53.0,42.0,0.0,-1.971,-1.971,0.0001246929168701172,1676478476.5365632
54.0,43.0,0.0,-1.971,-1.971,0.0001990795135498047,1676478476.54209
55.0,44.0,0.0,-1.971,-1.971,0.00015115737915039062,1676478476.5430288
56.0,45.0,0.0,-1.971,-1.971,0.00017213821411132812,1676478476.548713
57.0,46.0,0.0,-1.971,-1.971,0.0001461505889892578,1676478476.55028
58.0,47.0,0.0,-1.971,-1.971,0.00017714500427246094,1676478476.555577
59.0,48.0,0.0,-1.971,-1.971,0.0002009868621826172,1676478476.5610988
60.0,49.0,0.0,-1.971,-1.971,0.00015425682067871094,1676478476.5616138
61.0,50.0,0.0,-1.971,-1.971,0.00011897087097167969,1676478476.567026
62.0,51.0,0.0,-1.971,-1.971,0.00016617774963378906,1676478476.572324
63.0,52.0,0.0,-1.971,-1.971,0.0001888275146484375,1676478476.5775661
64.0,53.0,0.0,-1.971,-1.971,0.0002951622009277344,1676478476.5813558
65.0,54.0,0.0,-1.971,-1.971,0.00016307830810546875,1676478476.5868747
